University,75earn,Ownership,Control
SUNY Downstate Medical Center,229100,1,Public
University of Medicine and Dentistry of New Jersey,218500,1,Public
Upstate Medical University,212200,1,Public
University of Texas Southwestern Medical Center,186100,1,Public
University of Colorado Denver,125800,1,Public
The University of Texas Health Science Center at Houston,123800,1,Public
United States Merchant Marine Academy,122800,1,Public
University of Maryland-Baltimore,119800,1,Public
Medical University of South Carolina,111000,1,Public
California Maritime Academy,110300,1,Public
Maine Maritime Academy,108600,1,Public
Massachusetts Maritime Academy,108200,1,Public
University of Nebraska Medical Center,102600,1,Public
The University of Texas Health Science Center at San Antonio,100700,1,Public
Colorado School of Mines,98500,1,Public
SUNY Maritime College,98400,1,Public
Georgia Institute of Technology-Main Campus,98300,1,Public
Oregon Health & Science University,98100,1,Public
University of California-Berkeley,97600,1,Public
The University of Texas Medical Branch,89300,1,Public
University of Arkansas for Medical Sciences,89100,1,Public
Texas Tech University Health Sciences Center,89100,1,Public
New Jersey Institute of Technology,89000,1,Public
Georgia Health Sciences University,88800,1,Public
University of California-Los Angeles,88600,1,Public
University of California-San Diego,88100,1,Public
University of Virginia-Main Campus,87900,1,Public
University of Michigan-Ann Arbor,87500,1,Public
College of William and Mary,86700,1,Public
California Polytechnic State University-San Luis Obispo,86400,1,Public
University of California-Davis,85500,1,Public
Louisiana State University Health Sciences Center-New Orleans,84200,1,Public
SUNY at Binghamton,83500,1,Public
Missouri University of Science and Technology,83100,1,Public
University of Maryland-College Park,82900,1,Public
Virginia Polytechnic Institute and State University,82800,1,Public
University of Illinois at Urbana-Champaign,82300,1,Public
New Mexico Institute of Mining and Technology,82000,1,Public
The University of Texas at Austin,81900,1,Public
University of Baltimore,81800,1,Public
George Mason University,81400,1,Public
University of California-Irvine,80500,1,Public
San Jose State University,80300,1,Public
Michigan Technological University,79200,1,Public
Texas A & M University-Galveston,79000,1,Public
Texas A & M University-College Station,79000,1,Public
Stony Brook University,78000,1,Public
CUNY Bernard M Baruch College,77900,1,Public
Rutgers University-Camden,77800,1,Public
Rutgers University-New Brunswick,77800,1,Public
Rutgers University-Newark,77800,1,Public
Purdue University-Main Campus,77700,1,Public
University of Florida,77600,1,Public
University of Washington-Seattle Campus,77600,1,Public
University of Washington-Bothell Campus,77600,1,Public
University of Washington-Tacoma Campus,77600,1,Public
University of Maryland-University College,77200,1,Public
Virginia Military Institute,77100,1,Public
South Dakota School of Mines and Technology,76400,1,Public
University of North Carolina at Chapel Hill,76300,1,Public
James Madison University,76100,1,Public
Thomas Edison State College,75900,1,Public
University of California-Santa Barbara,75800,1,Public
University of Utah,75200,1,Public
University of Maryland-Baltimore County,74900,1,Public
The University of Texas at Dallas,74900,1,Public
University of Connecticut,74800,1,Public
University of Illinois at Chicago,74300,1,Public
California State Polytechnic University-Pomona,74000,1,Public
University of Delaware,73900,1,Public
Oregon Institute of Technology,73900,1,Public
University of Wisconsin-Madison,73900,1,Public
The College of New Jersey,73800,1,Public
University at Buffalo,72700,1,Public
Southern Polytechnic State University,72600,1,Public
Michigan State University,72200,1,Public
Clemson University,71800,1,Public
California State University-East Bay,71600,1,Public
University of Alabama at Huntsville,71300,1,Public
University of Oklahoma Health Sciences Center,71100,1,Public
University of Oklahoma Norman Campus,71100,1,Public
SUNY at Albany,71000,1,Public
Citadel Military College of South Carolina,71000,1,Public
North Carolina State University at Raleigh,70900,1,Public
University of Colorado Boulder,70400,1,Public
University of Massachusetts-Lowell,70200,1,Public
University of Pittsburgh-Bradford,70000,1,Public
University of Pittsburgh-Greensburg,70000,1,Public
University of Pittsburgh-Johnstown,70000,1,Public
University of Pittsburgh-Pittsburgh Campus,70000,1,Public
University of Houston,70000,1,Public
University of Arizona,69900,1,Public
University of Massachusetts Amherst,69800,1,Public
Pennsylvania State University-Penn State Erie-Behrend College,69700,1,Public
Pennsylvania State University-Penn State New Kensington,69700,1,Public
Pennsylvania State University-Penn State Shenango,69700,1,Public
Pennsylvania State University-Penn State Wilkes-Barre,69700,1,Public
Pennsylvania State University-Penn State Worthington Scranton,69700,1,Public
Pennsylvania State University-Penn State Lehigh Valley,69700,1,Public
Pennsylvania State University-Penn State Altoona,69700,1,Public
Pennsylvania State University-Penn State Beaver,69700,1,Public
Pennsylvania State University-Penn State Berks,69700,1,Public
Pennsylvania State University-Penn State Harrisburg,69700,1,Public
Pennsylvania State University-Penn State Brandywine,69700,1,Public
Pennsylvania State University-Main Campus,69700,1,Public
Pennsylvania State University-Penn State Greater Allegheny,69700,1,Public
Pennsylvania State University-Penn State Abington,69700,1,Public
Pennsylvania State University-Penn State Schuylkill,69700,1,Public
Pennsylvania State University-Penn State York,69700,1,Public
University of Mary Washington,69700,1,Public
University of Iowa,69600,1,Public
University of Michigan-Dearborn,69600,1,Public
CUNY Queens College,69300,1,Public
University of Rhode Island,69100,1,Public
Farmingdale State College,68900,1,Public
San Diego State University,68700,1,Public
San Diego State University-Imperial Valley Campus,68700,1,Public
University of California-Riverside,68500,1,Public
North Dakota State University-Main Campus,68500,1,Public
St Mary's College of Maryland,68400,1,Public
Montana Tech of the University of Montana,68300,1,Public
University of North Dakota,68300,1,Public
Louisiana State University and Agricultural & Mechanical College,68100,1,Public
Bowie State University,67900,1,Public
University of Minnesota-Twin Cities,67900,1,Public
Oregon State University,67800,1,Public
Oregon State University-Cascades Campus,67800,1,Public
Arizona State University,67500,1,Public
Southwestern College,67500,1,Public
Towson University,67400,1,Public
SUNY Institute of Technology at Utica-Rome,67400,1,Public
Washington State University,67300,1,Public
University of Georgia,67200,1,Public
Texas Tech University,67100,1,Public
California State University-Long Beach,67000,1,Public
Utah Valley University,67000,1,Public
Ramapo College of New Jersey,66800,1,Public
San Francisco State University,66600,1,Public
Iowa State University,66600,1,Public
University of New Hampshire-Main Campus,66600,1,Public
University of New Hampshire at Manchester,66600,1,Public
Miami University-Hamilton,66400,1,Public
Miami University-Middletown,66400,1,Public
Miami University-Oxford,66400,1,Public
University of Missouri-Columbia,66300,1,Public
University of Missouri-Kansas City,66300,1,Public
Auburn University,66200,1,Public
California State University-Chico,66100,1,Public
Indiana University-Bloomington,66100,1,Public
CUNY Brooklyn College,66100,1,Public
